"16","92","5","3","5327.00","40381.00"
"17","42","6","1","21583.00","34071.00"
"18","93","3","2","22813.00","33396.00"
"19","9","6","2","16343.00","43778.00"
"20","71","3","3","5434.00","23022.00"
"21","14","2","2","11899.00","40572.00"
"22","22","1","1","21294.00","21923.00"
"23","57","6","3","19998.00","14378.00"
"24","45","6","2","9275.00","37929.00"
"25","84","4","3","18279.00","37657.00"
"26","29","3","1","13909.00","19755.00"
"27","79","5","2","4033.00","34843.00"
"28","69","3","2","15609.00","22561.00"
"29","44","4","2","21668.00","41708.00"
"30","65","3","2","3756.00","42969.00"
"31","41","1","2","22702.00","30877.00"
"32","49","5","1","8112.00","16748.00"
"33","103","4","2","13772.00","23695.00"
"34","13","2","2","7737.00","15448.00"
"35","38","1","3","4692.00","32640.00"
"36","27","2","2","7821.00","43133.00"
"37","21","4","2","12793.00","24156.00"
"38","42","6","1","8182.00","29511.00"
"39","84","2","3","7603.00","35055.00"
"40","17","5","3","22546.00","20544.00"
"41","5","2","1","8200.00","27026.00"
"42","87","6","1","10613.00","14246.00"
"43","81","6","3","4055.00","23066.00"
"44","58","5","2","7851.00","27997.00"
"45","78","5","3","3693.00","24842.00"
"46","9","4","2","9019.00","34674.00"
"47","68","1","2","11414.00","28715.00"
"48","98","2","3","3297.00","38721.00"
"49","24","2","2","5725.00","44539.00"
"50","47","1","1","11738.00","17823.00"
"51","50","5","3","15726.00","20893.00"
"52","64","3","3","17553.00","14205.00"
"53","17","1","1","6242.00","25623.00"
"54","51","5","2","11666.00","30914.00"
"55","58","3","1","14882.00","20625.00"
"56","7","6","3","4030.00","40998.00"
"57","12","6","3","7653.00","34033.00"
"58","54","3","2","10593.00","18853.00"
"59","29","5","3","6281.00","14111.00"
"60","65","1","2","18844.00","14266.00"
"61","44","4","2","22909.00","20937.00"
"62","5","3","1","5277.00","23603.00"
"63","51","4","2","12147.00","16893.00"
"64","79","6","1","18394.00","32047.00"
"65","93","4","2","3904.00","27244.00"
